mu_0	omega_mu	sigma_0	omega_sigma	logit_fnr	fnr	logit_txr	txr	theta_tx	mu_tx	sigma_tx	theta_un_tx	mu_un_tx	sigma_un_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx
4.1240074	0.67911138	0.53743497	0.30285731	-3.1247533	0.042097675	-2.258876	0.094586587	0.72484372	3.9783311	0.8791727	0.42252289	3.2610369	0.99545419	-6.9758912	-6.4632609	-0.17055246	0.00093326174	0.0015572725	1.0	0.0043047882	0.00082162506
4.0845513	0.66506121	0.53130133	0.29321511	-3.6721151	0.024792355	-2.0588909	0.11315708	0.7293801	4.0130239	0.85034253	0.21855871	3.3360608	0.79687179	-6.9891676	-8.0089213	0.80334041	0.00092096455	0.00033237266	1.0	0.0051368085	0.0044590866
4.1016879	0.64563063	0.54652004	0.28932419	-3.5275329	0.028538908	-2.1470501	0.1046072	0.72912613	3.9693018	0.83246444	0.31174574	3.4501284	0.93602091	-6.8972897	-7.1942657	-0.18539766	0.0010095004	0.00075031589	1.0	0.0097525737	0.0099055439
4.0966123	0.64115408	0.54465992	0.2934998	-3.5548761	0.027790527	-2.105033	0.1086086	0.73145059	3.972565	0.83485736	0.34077339	3.251261	0.97109746	-6.9392893	-7.2821724	-0.25150785	0.00096802002	0.00068721738	1.0	0.0096218731	0.009247906
4.1002991	0.64865477	0.53823176	0.27881113	-3.4702699	0.030170082	-2.0580442	0.11324208	0.72778844	3.9659138	0.83940425	0.37573045	3.0419685	0.93273614	-6.9480899	-7.2587044	-0.23076936	0.00095954638	0.00070352427	1.0	0.0096471816	0.015931876
4.0961652	0.63784517	0.52240387	0.28439571	-3.2582421	0.037031845	-2.2467383	0.095631184	0.7245915	3.9694824	0.89789411	0.30695381	3.0478262	1.003879	-7.0603823	-6.5286776	-0.98236674	0.00085771353	0.0014588053	1.0	0.0091623915	0.0050893038
4.0909119	0.65695601	0.52621028	0.28102533	-3.2983435	0.035628059	-2.2697023	0.093663482	0.71904462	3.968211	0.90532728	0.28562866	2.9767711	0.98946781	-7.1524021	-6.6242228	-0.7627954	0.00078236848	0.0013260513	1.0	0.010764789	0.0092792477
4.1208476	0.65147141	0.51694717	0.31918838	-3.0614558	0.044725461	-2.3729895	0.08525571	0.72358104	4.0132799	0.83994706	0.50522716	3.1195211	0.96481086	-6.9634011	-6.0137963	0.73829485	0.00094498028	0.0024388271	1.0	0.0085716671	0.0070188992
4.1369327	0.6472309	0.53911023	0.2881646	-2.9910494	0.047831875	-2.4011894	0.083082043	0.71926731	3.985104	0.88428427	0.41288516	3.1342703	0.68096494	-7.1499979	-6.7283574	0.60889592	0.00078425017	0.0011950668	1.0	0.010116114	0.013012914
4.109348	0.65231705	0.53418382	0.32284894	-2.8377491	0.05531805	-2.5226589	0.074284897	0.72478502	3.9434636	0.86268554	0.54360988	3.3843322	0.67221379	-6.7235709	-7.6262049	0.37379545	0.0012007938	0.00048726996	1.0	0.0085832047	0.00093967697
