alpha	alpha_i_sd	beta[1]	beta[2]	beta[3]	beta[4]	beta[5]	beta[6]	beta[7]	beta[8]	beta[9]	beta[10]	beta[11]	beta[12]	beta[13]	beta[14]	beta[15]	beta[16]	beta[17]	beta[18]	beta[19]	beta[20]	beta[21]	beta[22]	beta[23]	beta[24]	beta[25]	beta[26]	beta[27]	beta[28]	beta[29]	beta[30]	beta[31]	beta[32]	beta[33]	beta[34]	beta[35]	beta[36]	beta[37]	beta[38]	beta[39]	beta[40]	beta[41]	beta[42]	beta[43]	beta[44]	beta[45]	beta[46]	beta[47]	beta[48]	beta[49]	beta[50]	beta[51]	beta[52]	beta[53]	beta[54]	beta[55]	beta[56]	beta[57]	beta[58]	beta[59]	beta[60]	beta[61]	beta[62]	beta[63]	beta[64]	beta[65]	beta[66]	beta[67]	beta[68]	beta[69]	beta[70]	beta[71]	beta[72]	beta[73]	beta[74]	beta[75]	beta[76]	beta[77]	beta[78]	beta[79]	beta[80]	beta[81]	beta[82]	beta[83]	beta[84]	beta[85]	beta[86]	beta[87]	beta[88]	beta[89]	beta[90]
-3.4855704	2.4564688	0.30377509	-0.69899726	1.0719781	0.358685	-3.4669085	0.049363189	0.3011137	-0.31473301	-0.0091068323	-0.6333403	-1.191254	-1.9538478	-0.46855464	0.73051807	0.22835137	-0.90683725	-0.1477472	0.7304487	-2.0743298	1.0869707	-0.26054881	-0.36514614	-1.6118327	0.11561121	0.69651856	-0.17662921	-0.39888667	0.30566044	-1.1684833	-1.0372779	0.62530482	0.22023874	1.4322832	-1.4644726	-0.93812337	0.66630781	-0.41209325	-0.91392976	-0.20042487	-2.7116453	-0.22732255	-0.39058169	-0.78723585	0.92465682	-0.80894617	-0.40038051	-0.33581343	-1.2004086	1.9459616	0.68741191	2.1807421	-1.3200633	-1.3161649	-0.9979975	1.0305338	0.75644948	1.8824145	-2.2044353	1.4017515	-0.20216812	1.0702979	0.52141329	0.62600785	-0.75963002	-0.7798771	-1.0907208	1.2336137	1.7344372	2.1477768	-1.0121845	0.86480503	-1.1122046	1.619581	0.79578959	0.74851299	1.7894356	1.6705828	-0.033665464	-0.65416656	1.0497811	1.0248547	1.5633082	-0.85303547	0.53932248	-1.7592856	0.62394967	2.0076305	-0.55002964	1.8448545	-0.88753725
-3.7234469	2.5978786	-0.87227591	-0.30139062	0.10917451	-0.91773339	-0.37823832	-0.17923835	1.3610815	-0.28277794	-0.50465652	0.46007988	-1.2458846	-0.69754319	-0.17986426	0.61581598	-0.26266121	0.36476544	-0.77478938	-0.035074881	-0.74282597	0.53368393	1.0497821	0.31804602	0.26925882	-1.3228318	0.57697626	0.66314916	0.22153098	-0.96227854	-1.1756057	0.2746488	1.0540394	1.21536	1.2928281	-1.4562174	-1.0162377	1.0599665	0.26756959	-2.4235475	0.37978817	0.54199886	-1.6478269	-0.38523216	-0.30609126	0.17972517	1.3703084	-0.5596558	-0.10794806	-0.45076651	-0.29694629	0.50038064	1.8516853	-0.50761387	-1.751392	-1.3976272	-0.63752789	0.23122204	0.84414754	-0.38868745	4.0565521	-1.0707688	1.0034735	0.79808823	-0.24523201	-1.009802	-0.30525602	2.2525724	1.0370612	0.35209953	1.1389065	-0.48069862	0.63638566	-0.46388442	-1.1543263	2.5581327	3.300485	-0.96718074	-0.43028268	-3.5824941	-0.0044604912	2.0458203	1.7852042	-1.9736501	-2.0103163	-1.3354375	0.8409829	-1.092079	0.49891455	-0.33274074	1.3243234	-0.60841687
-3.7983158	3.0094505	-1.4539477	-0.53796459	-0.54308666	-0.43485365	-1.955697	-2.500582	1.1820787	-0.49673049	-0.18782986	-0.62172857	-1.5409048	-0.8136787	0.039440441	-0.68828095	1.3868306	-0.41250292	-1.1720552	0.44956462	-0.21291487	1.5868733	0.38094391	-1.7811712	-1.3565761	1.1645078	1.0015795	-1.3516021	-0.24637654	-0.84966167	-0.33173549	-0.053246978	0.43455877	0.00076357193	1.6916745	-0.059216548	-0.34885133	0.28932876	-0.74738823	0.66018453	-0.61966546	-1.5694488	-0.68973943	-0.61945904	-0.58786437	0.5576224	-1.3216575	-1.8562719	-0.59233474	0.03466172	2.9591964	0.16700723	0.80445175	-0.54869029	-0.21386688	-0.74306483	1.1369255	1.0045546	1.7550986	2.0196137	1.0363538	1.7526845	0.67701968	0.39773252	0.70528106	-1.3084268	-2.4499254	-0.69689611	1.1897433	-0.035803025	0.56963687	-0.51549781	1.0217342	-2.1014486	-0.74684692	2.2094519	2.9310622	0.48707678	0.69746211	1.9554962	-0.43274791	1.3365431	1.1104331	-0.43214587	-1.0818527	-2.1210485	0.24604355	0.55676125	0.89769474	0.88123032	-0.28342986	0.89981474
-3.7904416	2.6763902	0.56369188	-0.2632412	0.88419764	-1.7758456	-0.71464979	-2.654844	0.84302323	-0.2598068	-0.52789692	-0.074706516	-1.0782894	-0.29894832	-0.060787704	0.7323018	0.67998123	0.812242	-0.11379627	-0.37280115	0.31536468	0.64480216	0.53878619	0.10934811	0.36278964	-0.58192462	0.95187721	0.42617917	-0.56759827	-0.49066866	-2.3339753	0.40085044	0.59357295	0.98347702	1.2411263	-0.38083192	-2.3212156	0.30910942	-0.2311856	-1.6590033	1.0225784	-2.7138552	0.58110906	-1.8109086	-0.16687004	0.52545208	1.3507636	-0.22530343	0.19763037	0.11435355	0.61954035	1.5984108	2.2930702	-0.37800836	-1.2179644	0.19111288	1.1112474	0.59962952	2.0629972	-0.37842055	3.6582324	-0.14074109	-0.78623157	1.1287308	-0.36316564	-1.1796516	-0.63139252	-0.6846489	-0.18099168	1.3037765	0.15330026	0.3045413	1.5011383	-0.11509443	-1.2906538	2.0044799	1.3580717	0.28550266	-1.8522295	0.81391731	-1.3715452	1.9900119	1.8397784	-3.2686564	-2.1311019	-3.3152208	0.42938802	-0.61231516	-0.3115895	0.78995933	1.3688446	-0.70171238
-3.6340907	2.6162152	-1.4391516	-0.4021483	0.50827502	-0.63828816	-2.0036165	-2.2271874	1.5006312	-0.039830955	-0.47698403	-1.0232578	-1.5717488	-1.7295251	-0.62651993	0.54285364	0.30572199	0.059827028	-0.54396593	-0.50203691	0.27714043	0.41573065	-0.076558535	-0.13008587	-1.0991245	-1.5314277	0.83761574	-0.19055168	-0.73876291	-1.1437796	-0.40819015	0.66356294	1.3699386	0.81413762	1.57951	0.75815654	-0.94650263	0.8273866	0.26412198	-0.75456652	1.7223818	-0.046721372	-0.02422983	-1.6025935	-1.3403963	0.34123849	-0.74819478	-1.7699254	-0.13211421	-0.15301293	1.3304867	0.31113328	2.2159796	-0.74969126	-1.723966	-0.48597174	0.45408524	1.4968969	3.1360313	-0.37495767	0.47392719	0.56976151	1.1591859	1.2668983	0.034025871	-0.7827873	-1.1419132	-0.37074149	1.8879756	1.9532499	1.1575953	-0.75045196	1.7837063	-1.0232147	0.19603771	2.0163467	2.5428685	-2.4353753	-1.8571064	0.10293958	1.3540325	1.9022616	1.3696868	-2.1715245	-2.4557165	-3.7572311	1.2257212	-0.18319822	0.74232728	0.40387476	1.6338145	0.81576697
-3.4911603	2.3284252	-0.77921187	-0.64138423	-0.1337181	0.4554626	-3.1677049	-0.23619457	0.22304328	-0.24214685	0.46640275	-1.2959413	-1.1868296	-0.27617328	1.3295209	0.32547399	0.47442196	0.11006265	-0.87880442	1.0751782	-0.23004852	1.5882115	-0.23389155	-1.7919643	-0.36996061	1.368821	-0.37229175	-0.071573811	0.85385333	0.17618136	-0.74024006	-1.8036998	1.1323381	1.7660443	1.792084	-0.76971882	-1.4099744	0.28070675	0.19382076	-1.4009652	-1.3904505	-2.5758986	-1.8372659	-0.2412754	0.53010112	0.39289469	1.0540421	-0.46927639	0.39938108	-0.59319052	2.6737789	1.2519048	1.5609778	-1.1913509	-0.75335609	-0.84744881	-0.54468242	-0.75211016	0.10594926	0.67543584	2.3569483	-1.7136885	0.57782521	-0.34852953	1.3987394	-0.32095352	-0.89261381	0.25250124	0.85807262	-0.075754876	-0.99415432	0.29200419	-0.56583608	-0.29631857	-2.15784	2.3791382	1.6034028	2.9634422	1.2607871	1.0809846	-1.1245807	1.2945035	2.2592355	-0.67301444	-0.043286322	-1.3836522	-1.0674892	-0.21000012	1.2295634	0.24880845	0.45557585	-1.6711701
-3.6275275	2.4986566	-0.4244538	-0.13006859	-0.15245706	0.66694484	-2.1033005	-2.2699527	0.33731333	-0.22305717	0.97060738	-0.99681047	-1.9745518	-1.323798	0.71578982	0.038434814	0.080208454	0.61993021	-1.095767	-0.026611393	-0.83399065	1.0656491	0.95852286	-0.3697109	-1.593786	-0.75306563	-0.21992486	-0.055455073	0.61513873	0.21240733	-0.77830204	-1.7362901	1.2613752	1.0959984	1.4547692	-1.4384177	-1.1830111	0.46262521	0.17376331	0.23008889	-0.90369788	0.097703267	-1.7115581	-0.57707772	-1.183889	0.89533657	-0.12571919	-1.1382212	-0.36550038	-1.9095992	1.3212364	0.95865585	1.4772353	0.26274054	-0.8065898	-1.1174909	-0.20461428	-1.4962565	3.0263729	0.87928135	1.202485	-0.66574997	0.3596979	1.1283782	0.010596302	0.71076051	-0.28910176	1.4528286	0.89882778	0.58411047	-0.19980774	0.43772897	0.37699163	-0.61305116	-1.9960607	3.6256736	2.132064	2.7076789	1.9122956	1.6038907	0.48430314	1.2501539	2.5017119	-4.6314428	-1.6567432	-2.5793147	-0.75038545	-1.1591457	0.16737785	1.1834884	0.87876689	0.27586027
-3.4695275	2.2819822	-0.76460273	-0.41876809	0.55910644	0.62197688	0.024415267	-0.15055484	0.82130653	-0.3014734	-0.75964039	-0.41728674	-0.57263664	-0.72318161	0.19919341	0.30647148	0.57821356	0.68620875	-1.1832719	0.89763618	-0.83306772	0.68767685	0.63007045	0.074315707	-1.4932779	-0.24472992	0.62989366	0.17393701	-0.13258278	-0.072333142	-0.492831	0.15938186	0.37969366	1.2087255	1.5462608	-1.3949764	-1.3018426	0.032205955	-0.31256408	-2.0164813	0.85555697	-0.57294678	-1.4132981	-0.2946975	-0.14303062	-0.0036586223	-0.13859833	-1.1772233	0.39508514	-0.74562124	1.664153	1.3905379	2.0094029	-1.9881405	-0.54013655	0.65324123	0.46395037	0.83295751	0.92216552	0.6245357	2.353409	1.0274643	0.81416393	0.20239084	1.3356546	-1.4605518	-1.1833208	-0.99840477	0.98163368	1.5496619	1.0298155	0.3549654	1.1790475	-2.6069745	-3.2953412	1.2684569	0.2685636	-2.5497259	0.91671735	-0.51890862	1.1230348	1.6375623	1.4572158	-0.89371461	-1.5577835	-3.7157593	-1.0246533	0.75795714	0.69732893	1.1487559	1.0104452	-0.73392801
-3.5664818	2.3213217	-0.99958235	-0.45280864	0.99616291	-1.4187538	-2.0551649	-2.9487306	0.47338573	0.22766307	-0.98978883	0.33180877	-1.408814	-2.0703858	0.26196738	0.49167643	1.9642122	-0.24518421	0.13272074	-0.049437648	0.78897936	0.82157723	0.088845871	-3.5357757	-0.38956179	0.21763669	0.98088109	0.20385484	0.12168997	-0.81701219	-1.4709908	-0.73697479	1.5190904	0.674991	1.625152	-0.9919419	-0.87873619	0.24303201	1.2765668	-1.9347597	-0.54104063	-0.68977954	-0.58978597	-1.0847418	0.3267176	0.81154744	-0.17776639	0.92070053	0.047508676	-0.92313651	0.95586119	0.7383919	1.282139	-1.0931905	-1.8110122	0.49415892	2.0496785	1.505887	0.65809729	-1.1578957	1.5891297	-0.66437023	0.34113418	0.12016686	0.72722991	-0.085625178	-0.89896482	-0.14255194	0.69844635	-0.42683857	0.99925031	-0.71979043	0.4758773	0.11991622	-0.044687206	1.7242634	1.9166382	-0.049759239	0.21056531	0.67050554	0.45026645	1.7204814	1.6244262	-0.9259918	-0.12285493	-0.91691327	-0.58744923	-0.12161586	0.00012036869	0.33213902	1.3739236	-1.1568971
-3.1119713	2.0751932	-1.8725506	-1.3194648	0.1030668	-1.6212524	-2.7390142	-1.9310821	1.2473881	-0.28225241	-0.090756916	-0.39047101	-0.97379577	0.51605445	0.43522371	0.11584869	0.3988544	0.65726218	-0.82912711	0.14937885	-0.13398838	1.0433548	0.19174476	-1.8103621	0.19374153	-0.1891271	0.19982848	-0.81027961	0.41544177	-0.76953811	-0.80575402	-0.75504262	0.92752315	0.22788705	1.6414002	-1.274344	-1.1178543	0.72516302	-0.35065689	0.62206853	-0.59521711	-1.7677274	-2.9508288	-0.79709477	-0.002428388	0.10813307	0.91601922	-1.2919985	-0.48898089	1.0404308	1.1753588	0.34834528	2.1223374	-0.8631648	-1.5260096	0.66890039	0.68567497	-0.62227858	0.47097598	1.8118134	2.52719	0.32957937	0.79297043	0.58640266	-0.18250151	-0.11602883	-0.22470833	-0.0888581	1.2372899	1.3528594	-0.14606395	0.71491917	0.53211157	0.14290982	1.4759777	1.0465704	1.8678222	0.9942441	-1.0905292	-1.1452024	0.54439767	1.4418001	1.2907466	-0.49735491	-1.002287	-2.4060937	1.0763274	-0.75692389	1.826905	0.044712439	0.38848597	-0.74444674
