mu_0	omega_mu	sigma_0	omega_sigma	logit_fnr	fnr	logit_txr	txr	theta_tx	mu_tx	sigma_tx	theta_un_tx	mu_un_tx	sigma_un_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx
4.1145911	0.66625912	0.52332063	0.25651925	-3.3810832	0.032891921	-1.92346	0.12747623	0.88294351	3.310687	1.2426113	0.48385427	2.9968715	0.80441591	0.14525331	0.81964611	3.5595375	0.14525331	0.81964611	3.5595375	0.020524065	0.013259622
4.1213133	0.64565173	0.5368686	0.25675417	-3.4504512	0.030755407	-1.8679681	0.133777	0.882397	3.1910068	1.2519212	0.54035333	2.8296708	0.85175657	0.27938759	0.59967939	4.4858066	0.27938759	0.59967939	4.4858066	0.0068143659	0.0018340809
4.1136195	0.68190373	0.53759164	0.25196608	-3.3749923	0.033086225	-1.991514	0.12009678	0.88395044	3.3361374	1.1809418	0.49452821	3.0723549	0.69018921	0.24315523	0.68905943	4.1622485	0.24315523	0.68905943	4.1622485	0.011749186	0.019155053
4.1051155	0.67316669	0.50608365	0.23335308	-3.1994404	0.039186786	-1.8905977	0.13117634	0.88472331	3.4234463	1.1355072	0.4546861	3.0330154	0.64400771	0.13336379	0.7653511	3.3921643	0.13336379	0.7653511	3.3921643	0.010482766	0.016186369
4.1131088	0.67307681	0.50659651	0.23328161	-3.2483883	0.037384843	-2.0468113	0.11437498	0.88441321	3.3036102	1.2004365	0.57988408	3.0176017	0.64391574	0.31834817	0.73750057	4.5545569	0.31834817	0.73750057	4.5545569	0.011453152	0.0063837915
4.0998763	0.66668574	0.52666166	0.21992173	-3.4163718	0.031787703	-1.8556518	0.13521068	0.88690629	3.4360949	1.1290543	0.53202412	3.1708824	0.70545752	0.23863113	0.79322791	4.0447391	0.23863113	0.79322791	4.0447391	0.01052514	0.0054493042
4.097605	0.66514633	0.52205482	0.23990821	-3.3792833	0.032949224	-1.8545921	0.13533463	0.89030484	3.4256275	1.1487281	0.5320674	3.0777107	0.66101395	0.22963675	0.84404664	3.987114	0.22963675	0.84404664	3.987114	0.011587872	0.006278878
4.1113892	0.6811894	0.52090934	0.21114514	-3.188879	0.039586379	-1.9448758	0.12511318	0.88191769	3.43866	1.1325437	0.54361985	2.9521989	0.68956638	0.22223265	0.76326705	3.9183216	0.22223265	0.76326705	3.9183216	0.0098832071	0.011700654
4.1006415	0.68562643	0.5104533	0.21080008	-3.6185724	0.026120366	-1.8693179	0.13362067	0.88646927	3.3667403	1.167755	0.54796729	3.0361757	0.71110094	0.21479192	0.88475928	4.1449881	0.21479192	0.88475928	4.1449881	0.013125383	0.0022947598
4.0939824	0.69012486	0.52212308	0.19741393	-3.3908371	0.032583059	-1.8814284	0.13222489	0.88585722	3.3736678	1.1735168	0.53756789	3.0056734	0.68344524	0.20066991	0.6954818	3.9371977	0.20066991	0.6954818	3.9371977	0.011314199	0.021415132
4.1018913	0.67468437	0.514513	0.21743744	-3.722985	0.02359172	-1.8788255	0.13252384	0.88719116	3.4710257	1.1133747	0.55104567	3.0884516	0.74052066	0.32258015	0.51886229	4.8681843	0.32258015	0.51886229	4.8681843	0.01077801	0.0018376975
4.1192414	0.68925823	0.51530927	0.24479008	-3.3616397	0.033516068	-1.9405989	0.12558207	0.88868416	3.4172028	1.1294073	0.53230701	3.121356	0.69061189	0.39710615	0.5008495	4.9764594	0.39710615	0.5008495	4.9764594	0.013575256	0.00089281598
4.0772436	0.68580627	0.50242265	0.27265613	-3.539986	0.028195672	-1.8710561	0.13341957	0.88362771	3.3825351	1.1670803	0.59808005	3.0603529	0.79039427	0.14578357	0.99820405	3.536253	0.14578357	0.99820405	3.536253	0.0088804721	0.0018780582
4.1096274	0.69462502	0.51452176	0.24651883	-3.4312304	0.031333566	-1.8761122	0.13283608	0.88287872	3.2941201	1.2196648	0.52353904	3.0971863	0.71626661	0.47021442	0.55009724	5.0914558	0.47021442	0.55009724	5.0914558	0.012951587	0.0027526465
4.1003684	0.68249585	0.51373238	0.23979054	-3.3749365	0.033088008	-1.8942871	0.13075643	0.88914193	3.473435	1.1074814	0.54884073	2.8701834	0.79788047	0.11098261	2.7732759	2.7068404	0.11098261	2.7732759	2.7068404	0.012366184	0.028257982
4.102511	0.68627732	0.49945897	0.22212626	-3.3152804	0.035050685	-1.8950149	0.13067373	0.88870297	3.4393046	1.1090646	0.58549534	2.9486756	0.7474352	0.20030346	1.4037414	3.8709658	0.20030346	1.4037414	3.8709658	0.013134477	0.0018545241
4.1138507	0.69753738	0.51112463	0.23582137	-3.2042899	0.039004606	-1.9843802	0.12085268	0.88590436	3.4359054	1.1014682	0.46725878	2.6113628	0.84354376	0.3878097	0.80170878	4.6494705	0.3878097	0.80170878	4.6494705	0.0083660484	0.0038116533
