mu_0	omega_mu	sigma_0	omega_sigma	logit_fnr	fnr	logit_txr	txr	theta_tx	mu_tx	sigma_tx	theta_un_tx	mu_un_tx	sigma_un_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx
4.1073982	0.65620665	0.5252243	0.26596631	-3.0632957	0.044646919	-1.9760798	0.12173735	0.88837314	3.36005	1.1641677	0.59413326	3.0045589	0.76057943	-6.5182771	-8.6022155	0.3530017	0.0014740343	0.00018366461	1.0	0.0080696654	0.012329281
4.0994145	0.66290683	0.52384015	0.26228765	-3.6118743	0.026291294	-1.8945217	0.13072977	0.88658703	3.4523098	1.1206489	0.5634954	3.1745536	0.56679385	-6.5707263	-8.328318	-0.60191504	0.0013988203	0.00024151968	1.0	0.008576595	0.019118465
4.1149137	0.67656712	0.53151089	0.23628761	-3.3065883	0.035345863	-1.9304007	0.12670624	0.88438624	3.3687258	1.162629	0.53376046	2.8933662	0.81618999	-6.634802	-8.2401574	-0.73989655	0.0013121149	0.00026377311	1.0	0.010564134	0.019512473
4.1167424	0.68381667	0.51112303	0.27277158	-3.5756958	0.02723351	-1.8617642	0.13449755	0.89005284	3.4727136	1.0895848	0.57291297	3.1778756	0.5999471	-6.2940662	-9.2049732	-0.76581636	0.0018438274	0.00010052806	1.0	0.0072871125	0.016947862
4.1034808	0.68626998	0.5146789	0.24706404	-3.4865052	0.029698646	-1.9173743	0.12815465	0.88087136	3.3471464	1.2136251	0.60982908	3.1816685	0.68249887	-6.563069	-8.1552912	0.79584311	0.0014095573	0.00028712918	1.0	0.0052477225	0.0012375368
4.1085347	0.68111412	0.51553933	0.26229711	-3.0896656	0.043535558	-2.0296582	0.116124	0.88925349	3.4924071	1.1491573	0.63989074	3.162148	0.46673318	-6.2924455	-9.1661759	-0.22605305	0.0018468126	0.0001045045	1.0	0.0077995582	0.0011616495
4.1016622	0.66426768	0.52861312	0.23860537	-3.3807224	0.0329034	-1.8947265	0.13070649	0.8876132	3.4421866	1.0519628	0.58585286	3.129751	0.47574864	-6.4417404	-9.2063219	0.17113532	0.0015910952	0.00010039257	1.0	0.017327926	0.00084167127
4.0882227	0.67251826	0.50712321	0.29664849	-3.3263717	0.034677482	-1.9204058	0.12781632	0.88854331	3.447516	1.157325	0.57380316	3.1744124	0.56081741	-6.8182487	-7.7919651	-0.0020256321	0.0010924398	0.00041286991	1.0	0.0051431719	0.022379072
4.1000503	0.68448262	0.51301848	0.27284179	-3.2596451	0.036981845	-1.9398621	0.12566301	0.88238445	3.3554645	1.1439893	0.61352845	3.2380873	0.45104854	-6.4222726	-9.2537669	0.60530224	0.0016223229	9.5741123e-05	1.0	0.015035508	0.0013151496
4.1057416	0.68668462	0.51995678	0.23474179	-3.1780488	0.040000194	-1.9907963	0.12017264	0.88252682	3.36805	1.2041545	0.54446272	3.0779437	0.49401539	-6.3251416	-9.1556589	-0.15449902	0.0017875118	0.00010560926	1.0	0.013638068	0.00079651613
