prob_fn	mu_0	omega_mu	sigma_0	omega_sigma	prob_tx	prob_bd_given_prev_tx	mu_tx	sigma_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx	trans_form
0.056022665	4.1052585	0.68761737	0.49128256	0.38444536	0.12576158	0.93876228	2.3656743	0.38949504	3.0072105	-18.326646	1.5414695	1.0	1.098598e-08	1.0	0.031232672	0.0014621269	ve
0.063849308	4.1061508	0.69542427	0.50083799	0.39897337	0.11391744	0.92906174	2.598988	0.45089035	10.166524	-18.915246	-0.37909799	1.0	6.0983594e-09	1.0	0.034764827	0.014610961	ve
0.060134643	4.1095738	0.71140982	0.48409103	0.41635739	0.12613544	0.93939547	2.7009307	0.050579503	-8.3302565	-18.355519	1.3000622	1.0	1.0673315e-08	1.0	0.031813993	0.0067909346	ve
0.055814175	4.1045261	0.70335372	0.48859744	0.40185114	0.12151983	0.96585898	2.7144412	0.18592515	3.8154877	-18.654509	0.3668907	1.0	7.9149793e-09	1.0	0.026237793	0.012511948	ve
0.055010408	4.097734	0.70106488	0.48397253	0.39437758	0.11726511	0.94141631	2.6918045	0.048175498	2.4413962	-18.505464	-1.0760494	1.0	9.187113e-09	1.0	0.025028871	0.0092120648	ve
0.059391131	4.0900568	0.70445765	0.49515677	0.39071477	0.11980201	0.94023791	2.6552908	0.098375897	-0.47455209	-18.591185	-0.83693356	1.0	8.4323984e-09	1.0	0.020679234	0.0084937738	ve
0.061602502	4.1141846	0.7080426	0.48882369	0.37835878	0.11981574	0.90901968	2.5896863	0.29294454	-0.7209567	-18.572092	-0.51469128	1.0	8.5949442e-09	1.0	0.03285839	0.010787817	ve
0.060608307	4.1146614	0.71507805	0.48772494	0.37243086	0.12115207	0.96782987	2.6880685	3.0124086	8.9310659	-18.55302	1.2015443	1.0	8.7604389e-09	1.0	0.028525853	0.0090772422	ve
0.06550822	4.1113554	0.71060758	0.493209	0.36424153	0.12066175	0.95145185	2.6651687	0.17458637	4.4811923	-18.686096	-0.62594875	1.0	7.6688736e-09	1.0	0.02944469	0.0036213809	ve
0.065985505	4.1063391	0.71150132	0.49403617	0.36628162	0.11927403	0.94512272	2.6243003	0.15635756	4.3588106	-18.701478	-0.62468304	1.0	7.5518152e-09	1.0	0.030446534	0.0024999609	ve
0.061415227	4.0939546	0.71499967	0.50301737	0.36974434	0.1181379	0.93800594	2.497093	0.82439583	-6.0446254	-18.449148	0.30193571	1.0	9.7193371e-09	1.0	0.028630631	0.0096338004	ve
0.0668503	4.1090152	0.72554673	0.49637396	0.36275323	0.11550058	0.93521568	3.2947716	0.99549287	4.7266435	-18.598978	0.011389914	1.0	8.3669385e-09	1.0	0.030292526	0.010506814	ve
0.064747551	4.091391	0.71645346	0.47941269	0.36114561	0.1204281	0.9204739	2.9456666	1.2572963	-3.8188488	-18.554376	0.16758911	1.0	8.7485687e-09	1.0	0.033300193	0.0099166239	ve
0.060051866	4.1141362	0.72485065	0.49209918	0.37300744	0.12277641	0.94497933	3.3735735	0.97117727	0.97025393	-18.665234	-0.32217752	1.0	7.8305398e-09	1.0	0.030305146	0.0091936034	ve
0.064233289	4.1074335	0.70766049	0.49392632	0.35206783	0.11436522	0.95182033	2.7550232	0.46202413	-2.6120304	-18.550907	0.11749677	1.0	8.7789634e-09	1.0	0.040528405	0.010199127	ve
0.059764687	4.0904762	0.7159451	0.48183662	0.35473851	0.12526246	0.8977043	3.0338773	0.62232244	-1.3380878	-18.580087	-0.45235374	1.0	8.526503e-09	1.0	0.024245531	0.0016186679	ve
0.067371983	4.0962088	0.72081519	0.48700701	0.38014356	0.1156134	0.94718722	3.181509	0.71547635	3.5261949	-18.706575	0.43841928	1.0	7.513417e-09	1.0	0.036028294	0.011770389	ve
